website;Offline Capabilities;Push Notifications;Add to Home Screen;Background Sync;Navigation Preload;Storage Estimation;Persistent Storage;Web Share;Media Session;Media Capabilities;Device Memory;Getting Installed Related Apps;Payment Request;Credential Management;Background Tasks;Background Fetch
nacelle.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
uaf.ua;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
lijiababy.com.cn;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
nokenny.co;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tabnakjavan.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stillnessinthestorm.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
amanjacademy.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
junyiacademy.org;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
charkhan.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
boxden.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
veryimportantlot.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
afteroffers.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metareel.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
fetnet.net;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
writeordie.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arcelik.com.tr;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
filfox.info;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
bernardyni.pl;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
fcc-group.eu;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dot.la;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mastertest.ir;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sarkariresultgov.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
redeyerecords.co.uk;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
come-on.de;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
pijnacker-nootdorp.nl;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
modars1.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
