;website;domComplexity;cssComplexity;badJavascript;pageWeight;requests
80;westliberty.edu;85;52;99;100;87
81;loosechange911.com;83;99;100;100;95
82;telpin.com.ar;87;-32;84;100;78
83;fashionunited.uk;100;100;100;100;100
84;md5hashing.net;88;83;74;100;94
85;printplanet.com;88;50;100;100;91
86;alexandrialivingmagazine.com;85;61;86;100;79
87;mcgrp.ru;59;83;63;100;80
88;techxplore.com;97;89;88;100;94
89;karnameh.com;100;86;100;100;63
90;diode.zone;100;73;98;100;100
91;theg7group.com;75;100;100;100;99
92;laws010.com;100;100;100;100;96
93;kari.com;97;90;88;100;76
94;yakimiha.ru;100;97;88;100;83
95;factburger.com;100;100;75;100;84
96;alenavisage.ru;83;100;88;100;9
97;homespunseasonalliving.com;98;67;100;100;90
98;dieneue1077.de;95;100;100;100;84
99;makelife.gr;86;19;72;100;79
100;ischool.co.jp;100;19;100;100;93
101;tucomida.online;87;100;17;100;78
102;caferati.me;97;100;78;100;100
103;paleoleap.com;100;82;96;100;95
104;tavsiyeforumu.com;38;100;89;84;74
105;diagrams.net;97;54;100;100;84
106;bungalower.com;86;-288;99;100;67
107;flybondi.com;87;100;100;100;78
108;thenortheasttoday.com;99;93;98;100;73
109;bjjfanatics.com;-8;-49;84;100;43
110;realas.com;97;99;87;100;77
111;kuchicomichan.com;90;67;100;100;100
112;discoveratlanta.com;87;100;32;68;29
113;khafan.today;100;75;88;100;90
114;i9sports.com;73;-121;85;100;81
115;hilvanhaberleri.com;83;50;100;100;99
116;toptoon.com;87;61;97;100;54
117;whatismycountry.com;93;100;98;100;78
118;titanfx.com;98;84;100;100;99
119;999plumber-reading.co.uk;84;100;99;100;87
120;bartardigital.com;47;18;96;100;90
121;perperook.ir;98;58;100;100;100
122;cpap.com;88;68;100;100;86
123;vault12.com;90;30;99;100;80
124;culturacientifica.com;100;99;100;100;99
125;teuxdeux.com;98;95;100;100;84
126;thesweetestoccasion.com;100;90;100;100;91
127;apkfab.com;100;83;100;100;98
128;emel.website;67;99;87;100;96
129;prophetray.com;72;100;100;100;90
130;al-batal.com;83;-145;98;100;89
131;cookwithrenu.com;93;89;100;100;84
132;168xoso.com;43;51;100;100;91
133;pengetahuankita.com;85;0;99;100;100
134;plugins4free.com;86;57;-13;100;65
135;ballwash.com;94;51;87;100;64
136;adactio.com;100;100;100;100;100
137;myanimals.com;95;99;97;100;77
138;passportsymphony.com;97;68;99;100;71
139;rec.net;100;99;100;100;87
140;bistrocu.com;47;-30;95;100;98
141;pelisestreno.com;93;31;100;100;81
142;chicagoflower.com;80;100;100;100;88
