,website,domComplexity,cssComplexity,badJavascript,pageWeight,requests
366,crocotube.com,93,93,-182,100,47
367,qtopa.com,100,86,100,100,100
369,lepetitvapoteur.com,-36,-10,95,100,89
370,ket-noi.com,81,49,86,100,84
372,yogile.com,100,28,97,100,95
373,dotable.com,100,100,100,100,87
377,infolink.ru,91,4,99,100,90
379,trodomains.uk,75,99,100,100,96
380,atmago.com,100,99,98,100,91
382,agora-web.jp,55,9,25,100,47
383,fatgirlflow.com,98,82,88,100,82
384,healthxp.in,-41,39,98,100,29
385,meidilight.com,93,-24,98,100,87
386,kostenlos.de,95,92,100,100,100
391,atlasformen.ru,27,100,84,100,60
392,express-bank.ru,93,92,99,100,91
394,iheartpodcastnetwork.com,100,100,100,100,100
396,smartadminmanager.com,95,55,88,100,17
397,islandwildseafoods.com,95,100,100,100,95
399,lesechos.fr,38,99,100,100,98
400,cashforscrapcarsautoremovallangley.ca,75,99,100,100,98
402,iranve.com,85,-17,99,100,98
404,pggoodeveryday.com,100,69,88,100,75
405,traverse.co.uk,100,84,100,100,91
410,wmeritum.pl,81,-46,100,100,99
411,flowaccount.com,84,-39,97,100,90
413,attacktheback.com,98,100,100,100,87
414,nazuna.co,97,68,100,100,100
415,ed.team,86,7,98,100,49
416,poeplanner.com,71,57,99,100,100
417,elnacional.com.do,19,25,58,100,-37
419,schultzgames.com,82,100,96,100,83
422,branddigitizer.site,97,76,98,100,98
423,rufflesandrainboots.com,98,86,87,100,81
434,bubbleshooter.net,94,97,15,100,19
436,americangolf.co.uk,25,38,73,100,58
437,chemgroup.net,97,93,99,100,100
439,kaboo.com,98,93,100,100,91
442,gentlemansgazette.com,100,6,99,100,90
443,cinemodern.ir,100,39,86,100,80
444,molovo.co,100,97,100,100,87
446,marieforleobschool.com,92,98,99,100,70
448,row2k.com,82,97,32,100,60
449,haberzamani.net,94,99,86,100,79
450,docusaurus.io,100,97,100,100,93
453,mopesoft.ru,100,47,99,100,88
454,shatura.com,93,77,97,100,60
455,talktofrank.com,100,95,100,100,96
457,thepressproject.gr,92,29,99,100,88
458,westliberty.edu,85,52,99,100,87
460,wish.com,92,100,89,4,54
461,loosechange911.com,83,99,100,100,95
464,ccifr.ru,73,19,98,100,90
465,telpin.com.ar,87,-32,84,100,78
469,fashionunited.uk,100,100,100,100,100
471,crimsonhotel.com,100,38,97,100,94
472,md5hashing.net,88,83,74,100,94
473,printplanet.com,88,50,100,100,91
475,hoichoi.tv,100,93,100,100,91
477,timerepublik.com,100,100,100,100,100
478,alexandrialivingmagazine.com,85,61,86,100,79
481,bosco.ru,100,78,86,100,31
482,mcgrp.ru,59,83,63,100,80
483,techxplore.com,97,89,88,100,94
487,karnameh.com,100,86,100,100,63
488,tinytap.com,73,70,96,100,-79
490,buildnext.in,67,24,98,100,69
500,pets4you.com,100,100,87,100,84
501,aroundtheworldl.com,93,96,100,100,98
502,diode.zone,100,73,98,100,100
503,wegoreise.de,93,68,87,100,70
505,guestposts.com,100,51,86,100,83
506,panelinha.com.br,98,99,99,100,96
507,publika.md,79,-3,-24,100,-8
509,theg7group.com,75,100,100,100,99
